case-name,rock_type,porosity,esv,kx,ky,kz,delta_esv
1,2.0,0.167660741,0.832746055,0.71,0.7755,0.7440000000000001,0.0004887382105328898
2,2.0,0.17402874100000001,0.826225287,0.7665,0.8421,0.752,0.00030755065292164326
3,2.0,0.221498074,0.777172849,0.64,0.664,0.7535,0.0017072237789170946
4,2.0,0.222788741,0.776703721,0.6067,0.7381,0.7691,0.000653024507973616
5,2.0,0.225810963,0.7745932040000001,0.6317,0.6659999999999999,0.8057,0.0005220520837730771
6,2.0,0.200472889,0.800017932,0.8022,0.768,0.8616,0.0006138891267691931
7,2.0,0.191482963,0.808662653,0.8415,0.6397,0.8919,0.00018010257463499754
8,2.0,0.205057481,0.7963835890000001,0.695,0.8333,0.8772,0.0018127977376437758
9,2.0,0.217534222,0.782532553,0.6612,0.6793,0.8447,8.533919549907066e-05
10,2.0,0.237109037,0.763325172,0.631,0.7219,0.9282,0.0005691625947337624
11,2.0,0.23976148100000003,0.761197861,0.6692,0.7696,0.9108,0.0012618960708041021
12,2.0,0.253371556,0.745575559,0.6212,0.7068,0.743,0.0014101860282192684
13,2.0,0.246696296,0.751973168,0.5716,0.6684,0.6306,0.0017662676991164685
14,2.0,0.237198222,0.762205535,0.5811,0.9701,0.6137,0.000781648676230605
16,2.0,0.187730963,0.812385448,0.8340000000000001,0.8415,0.7028,0.00014331581618571342
17,2.0,0.17579792600000002,0.8245391129999999,0.8104,0.7926,0.7256,0.0004089276290754977
18,2.0,0.24865185199999998,0.750718054,0.5872,0.6527,0.6441,0.0008386178919549628
19,2.0,0.20069807399999998,0.79900578,0.7163,0.7551,0.7033,0.0003705058005828609
21,2.0,0.19844088899999998,0.801733217,0.6419,0.7386,0.8051,0.0002172091834659555
22,2.0,0.21914992600000002,0.78053624,0.6278,0.6898,0.752,0.00040191326152061983
23,2.0,0.224334815,0.776055451,0.6463,0.7525,0.7435,0.0005031371879864854
24,2.0,0.19480355600000002,0.805037267,0.7959,0.7597,0.743,0.00019768716216537381
