case-name,rock_type,porosity,esv,kx,ky,kz,delta_esv
2,1.0,0.195065778,0.805821013,0.8629,0.7342,0.7168,0.0011016937480886457
3,1.0,0.22593451899999997,0.774464446,0.7644,0.7571,0.71,0.0005154150518177129
4,1.0,0.24342251899999998,0.7558773440000001,0.7415,0.5888,0.72,0.0009254002631356855
5,1.0,0.254325333,0.743105639,0.7266,0.7091,0.7357,0.0034452397455525044
6,1.0,0.23335437,0.766012302,0.71,0.7261,0.8057,0.0008261026675387598
7,1.0,0.230392,0.768416164,0.6945,0.6127,0.7988,0.0015486273531459473
8,1.0,0.218824296,0.7812326540000001,0.753,0.9543,0.7864,7.290293298734694e-05
10,1.0,0.175602074,0.825298227,0.7971,0.9078,0.8229,0.0010920709181890115
11,1.0,0.202258963,0.7977439479999999,0.7826,0.7037,0.7294,3.6490538469551288e-06
12,1.0,0.197592889,0.802204584,0.8086,0.7766,0.7252,0.0002523993085598376
14,1.0,0.222888,0.776494349,0.7233,0.7136,0.674,0.0007948030657099579
15,1.0,0.21839525899999998,0.7812136209999999,0.7214,0.7122,0.6547,0.0005004063812351901
18,1.0,0.24659555600000002,0.7533995859999999,0.6113,0.6822,0.6285,6.448063903445714e-06
19,1.0,0.252805926,0.747290844,0.6328,0.7787,0.6357,0.0001295111984519945
20,1.0,0.250723556,0.7484743009999999,0.6452,0.631,0.6357,0.001070556810404723
21,1.0,0.267223704,0.732423178,0.6201,0.643,0.6008,0.00048189058779260805
22,1.0,0.26622074100000004,0.7336301470000001,0.6346,0.6612,0.5839,0.00020321097683124317
23,1.0,0.247946074,0.7519709290000001,0.7086,0.7376,0.6497,0.00011036043710503554
25,1.0,0.214493037,0.786412097,0.7965,0.7145,0.7228,0.0011522927773207144
26,1.0,0.239298667,0.7613848409999999,0.7571,0.7391,0.7159,0.0008985234682110697
27,1.0,0.25389007399999997,0.745596832,0.7665,0.5826,0.6809999999999999,0.0006876922315599802
28,1.0,0.259767704,0.739779196,0.7118,0.5647,0.6932,0.0006121051492193946
29,1.0,0.233764444,0.7659182529999999,0.7247,0.7702,0.7271,0.0004141063378166988
30,1.0,0.23008829600000003,0.7690218879999999,0.7159,0.6471,0.7266,0.0011557377234000892
31,1.0,0.221752593,0.778364143,0.768,0.8834,0.7006,0.0001499985723690958
33,1.0,0.17807288899999998,0.8231093359999999,0.7859,0.8434,0.7842,0.0014383574701186247
34,1.0,0.20804977800000002,0.79208754,0.7440000000000001,0.6937,0.7357,0.00017339221100698537
35,1.0,0.201489778,0.798814322,0.7771,0.7686,0.782,0.00038083419801234473
36,1.0,0.210224296,0.7902311809999999,0.7551,0.7396,0.7728,0.0005767169054366433
37,1.0,0.21378340699999998,0.785996712,0.7352,0.7275,0.7837,0.0002796697525309452
38,1.0,0.219048593,0.7804511470000001,0.7299,0.6945,0.7362,0.0006405776281544226
