case-name,rock_type,porosity,esv,kx,ky,kz,delta_esv
1,3.0,0.165296889,0.833131211,0.5932,0.7266,0.7073,0.0018831845470383905
4,3.0,0.078402074,0.9215411459999999,0.8163,0.8962,0.9659,6.161038170575216e-05
5,3.0,0.083529185,0.916284448,0.8028,0.9228,0.8333,0.00020335290218715377
6,3.0,0.089185481,0.911097167,0.8358,0.8969,0.8139,0.0003103244339037556
7,3.0,0.089725926,0.910611244,0.871,0.9115,0.8485,0.00037040492487979803
8,3.0,0.08355792599999999,0.917236139,0.8772,0.9108,0.9049,0.0008664650200248341
9,3.0,0.08437096300000001,0.91711186,0.8485,0.9625,0.9336,0.0016194582522834758
10,3.0,0.11109837,0.889381798,0.7965,0.8315,0.8511,0.0005401812571768459
11,3.0,0.128028741,0.872412572,0.8169,0.8051,0.8127,0.0005061095712101381
12,3.0,0.146391407,0.8540146890000001,0.7994,0.8518,0.7848,0.0004757402904917546
14,3.0,0.12242370400000001,0.878486606,0.7903,0.9205,0.9667,0.0010373001232475971
15,3.0,0.126558519,0.8737359840000001,0.7759999999999999,0.9145,0.9243,0.00033717542205911395
16,3.0,0.11282340699999999,0.886767445,0.7509999999999999,0.8623,0.8421,0.00046117988597554763
18,3.0,0.11136711099999999,0.877804115,0.747,0.8518,0.7055,0.012185880281998025
19,3.0,0.130777481,0.868228487,0.695,0.8181,0.8563,0.0011435874914327128
21,3.0,0.08778814800000001,0.912207848,0.8492,0.9041,0.8724,4.389331262494817e-06
22,3.0,0.12785837,0.870890985,0.7247,0.7597,0.7381,0.0014339930086814572
23,3.0,0.15424859300000002,0.84394467,0.6397,0.8063,0.715,0.0021362506583450505
24,3.0,0.147906963,0.8516925609999999,0.5178,0.7937,0.8057,0.0004699909312837613
25,3.0,0.133125926,0.864028727,0.6426,0.9617,0.8897,0.0032823071831769345
26,3.0,0.11405807400000001,0.8867472909999999,0.6852,0.9182,0.9297,0.0009090494267904721
27,3.0,0.118285037,0.88227098,0.7509999999999999,0.8643,0.8563,0.000630608556429903
28,3.0,0.13685303699999998,0.863003139,0.746,0.7959,0.8492,0.00016662747616018038
29,3.0,0.134354074,0.865667876,0.7999,0.8315,0.8485,2.5356787735794528e-05
30,3.0,0.125101926,0.874255496,0.8175,0.8998,0.8590000000000001,0.0007344604121279672
31,3.0,0.10534133300000001,0.895199434,0.7994,0.9274,0.867,0.0006044394582498949
32,3.0,0.128927704,0.8713578740000001,0.6371,0.8576,0.8022,0.00032784649599287
33,3.0,0.162921185,0.834145602,0.609,0.7618,0.6712,0.003504106121715726
34,3.0,0.135498074,0.863327834,0.7019,0.767,0.7205,0.0013581138048268037
36,3.0,0.148530667,0.8504643190000001,0.7037,0.7347,0.7386,0.00118032906300804
38,3.0,0.079092444,0.92106306,0.9056,0.8976,0.9313,0.00016885951145359483
39,3.0,0.104893037,0.894808681,0.9071,0.7982,0.8346,0.0003332361520240331
40,3.0,0.145858963,0.8530663559999999,0.7086,0.7707,0.728,0.0012582008748516285
41,3.0,0.168026963,0.8301798459999999,0.5731,0.7971,0.674,0.0021553474935511433
42,3.0,0.162001185,0.836630078,0.5011,0.8229,0.6744,0.0016333400185058178
43,3.0,0.152073185,0.847077415,0.5224,0.9213,0.7082,0.001001737396404901
44,3.0,0.118392296,0.8814558840000001,0.6652,0.9336,0.7971,0.0001722081140070365
45,3.0,0.11780622199999999,0.882201563,0.7347,0.8919,0.8145,8.824591823387798e-06
46,3.0,0.11143763,0.888883559,0.8758,0.8485,0.8848,0.00036147040527948474
47,3.0,0.10009837,0.900646471,0.9470000000000001,0.8737,0.9625,0.0008276915778004987
49,3.0,0.140576296,0.859463965,0.6997,0.7766,0.8869,4.6846508669239466e-05
50,3.0,0.19409155600000003,0.804544626,0.4362,0.6233,0.6434,0.0016922741164379228
52,3.0,0.14484563,0.854646165,0.5778,0.5527,0.6083,0.0005942845149700028
54,3.0,0.153428741,0.845449462,0.6535,0.6222,0.9122,0.001325106407846908
55,3.0,0.09794163,0.902651742,0.8933,0.9625,0.8778,0.0006577977875200924
57,3.0,0.14348296300000002,0.8565629840000001,0.8649,0.7831,0.7401,5.3644000078608096e-05
58,3.0,0.135694519,0.864370216,0.7665,0.7892,0.8447,7.489828703288989e-05
59,3.0,0.13949837,0.860080885,0.6397,0.882,0.8609,0.000488953170257214
60,3.0,0.142830815,0.85682274,0.5133,0.8352,0.8696,0.0004041734188099967
61,3.0,0.161691259,0.837987079,0.46799999999999997,0.9152,0.792,0.0003837035023829542
62,3.0,0.128720593,0.871448564,0.6024,0.9049,0.8876,0.00019414782289233577
63,3.0,0.106082074,0.8950314890000001,0.7965,0.9494,0.9675,0.0012457105597858825
67,3.0,0.140157926,0.8596655000000001,0.7196,0.7842,0.8346,0.00020535631523415008
70,3.0,0.095591704,0.906460748,0.6289,0.4884,0.6097,0.0022693865249551384
72,3.0,0.141512,0.8573512090000001,0.7328,0.6289,0.8011,0.0013241780898509592
73,3.0,0.118163556,0.88183992,0.7633,0.8926,0.7948,3.941774037247395e-06
75,3.0,0.129269037,0.86982509,0.8352,0.8758,0.7707,0.0010403592366566635
76,3.0,0.105688,0.894819877,0.8057,0.9019,0.8217,0.0005678968860979054
77,3.0,0.11945629599999999,0.880802016,0.743,0.8290000000000001,0.8409,0.00029335511551159446
78,3.0,0.130085037,0.870982795,0.754,0.8656,0.9454,0.001227513085092129
80,3.0,0.116219556,0.885351103,0.9675,0.9056,0.9751,0.001777204972867644
85,3.0,0.13414577800000002,0.866977852,0.7948,0.9205,0.8954,0.0012977126766265767
86,3.0,0.17353688899999997,0.82547401,0.5332,0.5375,0.91,0.0011967878382415156
87,3.0,0.166327704,0.83288713,0.5306,0.5239,0.8676,0.0009418161113992491
88,3.0,0.091767704,0.9093550109999999,0.6531,0.6184,0.9709,0.0012361540158223362
90,3.0,0.145484741,0.854705506,0.6448,0.6688,0.8205,0.00022263733502261686
91,3.0,0.118404741,0.881516345,0.6797,0.8157,0.7815,8.951273182838316e-05
92,3.0,0.116396148,0.8835339320000001,0.7113,0.8181,0.7793,7.913048346460306e-05
93,3.0,0.10481866699999999,0.8956696820000001,0.7309,0.9486,0.7445,0.0005455308125823648
94,3.0,0.099287111,0.90089503,0.8133,0.8806,0.7566,0.00020221871167208814
95,3.0,0.12457866699999999,0.8752788440000001,0.8365,0.8016,0.7064,0.0001627661956918662
96,3.0,0.14308148099999998,0.857200058,0.9328,0.8133,0.7739,0.0003285481568638404
101,3.0,0.125789926,0.873930801,0.8998,0.7793,0.7376,0.00031945754036240927
102,3.0,0.144760889,0.855286597,0.8045,0.8074,0.6932,5.552365343128116e-05
103,3.0,0.148854519,0.851589554,0.6894,0.8472,0.8396,0.000521735719583812
104,3.0,0.149263111,0.850385944,0.6137,0.7675,0.871,0.000412518846352731
105,3.0,0.129113185,0.871146262,0.7247,0.8086,0.9005,0.00029791127334959566
106,3.0,0.11306963,0.887778477,0.8278,0.6941,0.7976,0.0009562272628008469
107,3.0,0.127388148,0.8730709190000001,0.9258,0.8296,0.6993,0.0005260838469566085
108,3.0,0.16598933300000002,0.833224141,0.7154,0.7347,0.754,0.0009430646766536682
113,3.0,0.12545777800000002,0.8746025829999999,0.7675,0.7965,0.6222,6.902010958591918e-05
114,3.0,0.132662519,0.866818863,0.976,0.8309,0.7015,0.0005979425671793039
117,3.0,0.116869037,0.883090555,0.8409,0.867,0.7804,4.575538815079151e-05
118,3.0,0.11525363,0.884993939,0.8415,0.9692,0.8169,0.000279819175748642
119,3.0,0.150193185,0.8494779179999999,0.7313,0.6989,0.7771,0.00038702560887329454
120,3.0,0.191636444,0.8081263470000001,0.6113,0.72,0.6593,0.0002934434614713197
121,3.0,0.224529778,0.7740087529999999,0.5018,0.5938,0.6015,0.001884622979114347
122,3.0,0.218570963,0.779340467,0.6087,0.7318,0.652,0.0026727570913134065
123,3.0,0.17835792600000003,0.82111862,0.8862,0.8799,0.7362,0.0006370827597126906
126,3.0,0.165873185,0.833181594,0.8377,0.7898,0.6605,0.0011331862050255998
129,3.0,0.100886815,0.900312819,0.75,0.8340000000000001,0.8609,0.00133424136139212
130,3.0,0.117073778,0.883769055,0.8623,0.7691,0.9282,0.000954590518436304
135,3.0,0.155010963,0.843378133,0.6847,0.7252,0.8428,0.00190642000009755
136,3.0,0.14154192599999998,0.8580050770000001,0.7042,0.8518,0.8498,0.0005276868069855331
137,3.0,0.136129778,0.8640880679999999,0.6941,0.8848,0.9634,0.00025217445219447097
139,3.0,0.230605333,0.767417447,0.5022,0.5244,0.5406,0.0025698384519735715
140,3.0,0.21170637,0.786789415,0.6963,0.7275,0.5854,0.0019081912408704551
144,3.0,0.149850667,0.850753185,0.9667,0.9391,0.741,0.0007102893298393081
145,3.0,0.11727437,0.8830312140000001,0.8074,0.8466,0.8241,0.0003461823126173706
146,3.0,0.17604088899999998,0.823815827,0.6822,0.7707,0.6688,0.000173896978730011
147,3.0,0.260852148,0.7377705659999999,0.5383,0.6456,0.4943,0.0018633430324845057
148,3.0,0.21626370399999997,0.782596373,0.6924,0.6636,0.6890000000000001,0.001454472640629238
149,3.0,0.140918519,0.859525545,0.9551,0.9297,0.8498,0.000516905566958632
152,3.0,0.14131703699999998,0.85898588,0.943,0.7815,0.7396,0.0003527693142317045
153,3.0,0.17238251899999998,0.8260864520000001,0.7465,0.7073,0.5954,0.001849923467239941
154,3.0,0.133126519,0.865537998,0.7707,0.8616,0.6411,0.0015405742928708665
156,3.0,0.116372741,0.881882466,0.8453,0.8656,0.9012,0.001974580324711415
163,3.0,0.15386163,0.8451303659999999,0.7892,0.8717,0.6475,0.0011912992434087557
164,3.0,0.202205926,0.7965302609999999,0.7077,0.7515,0.5519,0.0015841343539487278
